Category,COGS,Profit,Rating,Product ID
Food and beverages,80.71,4.0355,8.1,903
Food and beverages,52.42,2.621,6.3,773
Food and beverages,66.66,3.333,6.4,964
Food and beverages,257.39,12.8695,7.4,723
Food and beverages,158.32,7.916,8.7,174
Food and beverages,485.15,24.2575,9.3,343
Fashion accessories,451.76,22.588,7.3,124
Fashion accessories,381.68,19.084,6.4,277
Fashion accessories,778.32,38.916,6.2,755
Fashion accessories,74.29,3.7145,5.0,195
Fashion accessories,274.84,13.742,4.1,407
Fashion accessories,81.06,4.053,7.1,115
Fashion accessories,352.5,17.625,5.9,662
Fashion accessories,99.84,4.992,7.0,975
Fashion accessories,279.66,13.983,7.2,612
Fashion accessories,511.04,25.552,9.9,762
Fashion accessories,366.16,18.308,4.8,150
Fashion accessories,123.84,6.192,8.5,827
Fashion accessories,130.48,6.524,9.0,255
Fashion accessories,55.45,2.7725,4.9,659
Fashion accessories,509.88,25.494,8.4,112
Fashion accessories,832.5,41.625,4.4,623
Fashion accessories,12.09,0.6045,8.2,629
Fashion accessories,69.4,3.47,8.2,490
Fashion accessories,441.36,22.068,8.6,76
Fashion accessories,157.26,7.863,7.5,639
Fashion accessories,51.36,2.568,5.2,117
Fashion accessories,684.53,34.2265,4.9,404
Fashion accessories,483.5,24.175,7.0,375
Fashion accessories,53.78,2.689,4.7,947
Fashion accessories,91.98,4.599,9.8,960
